PartnerID,accountGuid,domains,plan,PartNumber,itemCount,partnerPurchasedPlanID
26668,65a0fa72-30f3-4cdc-8751-55c9c0b501fb,nexusguatemala.com,E2016_Exch_1_HOSTWAY,PLN002NR,0,65a0fa7230f34cdc875155c9c0b501fb
26668,65a0fa72-30f3-4cdc-8751-55c9c0b501fb,nexusguatemala.com,E2016_Exch_1_HOSTWAY,AES001NR,0,65a0fa7230f34cdc875155c9c0b501fb
26668,5299fe02-b145-4c63-834e-02f852c363e6,hw-john8652-285.serverdata.net,E2016_Exch_1_HOSTWAY,PLN002NR,-6,5299fe02b1454c63834e02f852c363e6
26668,5299fe02-b145-4c63-834e-02f852c363e6,hw-john8652-285.serverdata.net,E2016_Exch_1_HOSTWAY,AES001NR,-6,5299fe02b1454c63834e02f852c363e6
26668,8ec580ff-5f75-4ad2-90ee-e2a2f2f918bc,acct859010-9209.serverdata.net,E2016_Exch_1_HOSTWAY,PLN002NR,0,8ec580ff5f754ad290eee2a2f2f918bc
26668,8ec580ff-5f75-4ad2-90ee-e2a2f2f918bc,acct859010-9209.serverdata.net,E2016_Exch_1_HOSTWAY,AES001NR,0,8ec580ff5f754ad290eee2a2f2f918bc
26668,9d684be8-d27c-4c72-b333-44094461dd05,VW0149704-55638.serverdata.net,E2016_Exch_1_HOSTWAY,OWA002NO,0,9d684be8d27c4c72b33344094461dd05
26668,9d684be8-d27c-4c72-b333-44094461dd05,VW0149704-55638.serverdata.net,E2016_Exch_1_HOSTWAY,OWA004NR,0,9d684be8d27c4c72b33344094461dd05
26668,9d684be8-d27c-4c72-b333-44094461dd05,VW0149704-55638.serverdata.net,E2016_Exch_1_HOSTWAY,OWA001NR,0,9d684be8d27c4c72b33344094461dd05
26668,38f68094-1000-4e57-b0b2-c7d50caabfd9,jmhsystems56-28.serverdata.net,E2016_Exch_1_HOSTWAY,PLN002NR,0,38f6809410004e57b0b2c7d50caabfd9
26668,38f68094-1000-4e57-b0b2-c7d50caabfd9,jmhsystems56-28.serverdata.net,E2016_Exch_1_HOSTWAY,AES001NR,0,38f6809410004e57b0b2c7d50caabfd9
26668,0168d9fd-f807-4cd7-b452-26559b1d4598,alrifai48644-38.serverdata.net,E2016_Exch_1_HOSTWAY,EM0000010U0R,0,0168d9fdf8074cd7b45226559b1d4598
26668,6b393c9d-10eb-4a9c-ac85-a5fb458d5568,storey291541-41.serverdata.net,E2016_Exch_1_HOSTWAY,EMG000010U0R,0,6b393c9d10eb4a9cac85a5fb458d5568
26668,09339f5d-fc4d-4e01-8c96-996f56a8376c,diamatrix.net,E2016_Exch_1_HOSTWAY,EMG000010U0R,0,09339f5dfc4d4e018c96996f56a8376c
26668,4fc0b569-1aa4-486d-81f2-9d3615ad6de9,premiumroo79-20.serverdata.net,E2016_Exch_1_HOSTWAY,OWA004NR,0,4fc0b5691aa4486d81f29d3615ad6de9
26668,9856937e-98d4-4a98-8884-9024d1d671c8,hw-aman6524-201.serverdata.net,E2016_Exch_1_HOSTWAY,PLN002NR,0,9856937e98d44a9888849024d1d671c8
26668,9856937e-98d4-4a98-8884-9024d1d671c8,hw-aman6524-201.serverdata.net,E2016_Exch_1_HOSTWAY,AES001NR,0,9856937e98d44a9888849024d1d671c8
